Experiment 2,Keypress: Right (P),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'right': 'blue', 'left': 'yellow'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: dansk_blue,"Appeared First: (255, 0, 0)","Order: {'right': 'blue', 'left': 'red'}",Time: 300
Experiment 2,Keypress: Right (P),Primed With: dansk_blue,"Appeared First: (255, 0, 0)","Order: {'right': 'blue', 'left': 'red'}",Time: 30
Experiment 1,Keypress: Left (Q),"Primed With: (0, 255, 0)","Appeared First: (255, 20, 147)","Order: {'right': (0, 255, 0), 'left': (255, 20, 147)}",Time: 0
Experiment 1,Keypress: Right (P),"Primed With: (255, 215, 0)","Appeared First: (128, 0, 128)","Order: {'left': (255, 215, 0), 'right': (128, 0, 128)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (0, 255, 0)","Appeared First: (150, 75, 0)","Order: {'right': (0, 255, 0), 'left': (150, 75, 0)}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'left': 'purple', 'right': 'black'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'left': 'purple', 'right': 'black'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: mnm_yellow,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'yellow'}",Time: 300
Experiment 2,Keypress: Left (Q),Primed With: ahoy_blue,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'blue'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: hello_red,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'red'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: hello_red,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'red'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'left': 'purple', 'right': 'black'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: rawabi_orange,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 300
2,Left (Q),mnm_blue,yellow,"{'right': 'blue', 'left': 'yellow'}",10
2,Right (P),mnm_yellow,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Left (Q),mnm_yellow,blue,"{'right': 'yellow', 'left': 'blue'}",10
Experiment 2,Keypress: Right (P),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'right': 'blue', 'left': 'yellow'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: mnm_yellow,"Appeared First: (0, 0, 255)","Order: {'right': 'yellow', 'left': 'blue'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: mnm_yellow,"Appeared First: (0, 0, 255)","Order: {'right': 'yellow', 'left': 'blue'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: ahoy_blue,"Appeared First: (255, 0, 0)","Order: {'right': 'blue', 'left': 'red'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'right': 'black', 'left': 'purple'}",Time: 300
